Id,Label,timeset,region,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,Clustering Coefficient
LH,LH,,thalamus,1,1,2,0.001128,0.001127,0.002256,4,0.4,0.520833,4,0,0,0
ZI,ZI,,midbrain,0,1,1,0,0.000836,0.000836,3,0.5,0.611111,0,0,0,0
MB,MB,,midbrain,0,1,1,0,0.000791,0.000791,2,0.666667,0.75,0,0,0.316228,0
SCm,SCm,,midbrain,0,1,1,0,0.000566,0.000566,2,0.666667,0.75,0,0,0.316228,0
MRN,MRN,,midbrain,1,1,2,0.001962,0.000738,0.002699,2,0.666667,0.75,2,0,0.316228,0
RN,RN,,midbrain,0,1,1,0,0.002349,0.002349,3,0.5,0.611111,0,0,0,0
SCs,SCs,,midbrain,0,1,1,0,0.001116,0.001116,4,0.4,0.520833,0,0,0,0
MS,MS,,basal ganglia,0,1,1,0,0.003132,0.003132,3,0.5,0.611111,0,0,0,0
ORB,ORB,,non-visual cortex,0,1,1,0,0.000663,0.000663,2,0.666667,0.75,0,0,0,0
PAG,PAG,,midbrain,0,1,1,0,0.000683,0.000683,2,0.666667,0.75,0,0,0,0
RSP,RSP,,non-visual cortex,1,1,2,0.000962,0.002082,0.003044,4,0.4,0.520833,4,0,0,0
GPe,GPe,,basal ganglia,1,1,2,0.000815,0.000619,0.001434,2,0.666667,0.75,2,0,0.316228,0
BLA,BLA,,cortical subplate,1,1,2,0.000627,0.00068,0.001307,1,1,1,0,0,0,0
VPM,VPM,,thalamus,0,1,1,0,0.002514,0.002514,2,0.666667,0.75,0,0,0,0
SSs,SSs,,non-visual cortex,0,1,1,0,0.000631,0.000631,3,0.5,0.611111,0,0,0,0
TH,TH,,thalamus,4,1,5,0.003469,0.000537,0.004006,3,0.5,0.611111,15,0,0,0
RT,RT,,thalamus,0,1,1,0,0.000738,0.000738,4,0.4,0.520833,0,0,0,0
VPL,VPL,,thalamus,2,1,3,0.001568,0.000665,0.002232,1,1,1,1,0,0,0
LD,LD,,thalamus,1,1,2,0.002993,0.000612,0.003606,4,0.4,0.520833,4,0,0,0
MEA,MEA,,cortical subplate,0,1,1,0,0.002993,0.002993,5,0.333333,0.456667,0,0,0,0
ACB,ACB,,basal ganglia,0,1,1,0,0.000735,0.000735,3,0.5,0.611111,0,0,0,0
SI,SI,,basal ganglia,0,1,1,0,0.001611,0.001611,4,0.4,0.520833,0,0,0,0
OT,OT,,basal ganglia,1,1,2,0.001611,0.00093,0.002541,3,0.5,0.611111,3,0,0,0
SNr,SNr,,basal ganglia,2,1,3,0.003194,0.000627,0.003821,1,1,1,1,0,0,0
POL,POL,,thalamus,0,1,1,0,0.000816,0.000816,2,0.666667,0.75,0,0,0.316228,0
APN,APN,,midbrain,0,1,1,0,0.000962,0.000962,5,0.333333,0.456667,0,0,0,0
LP,LP,,thalamus,5,1,6,0.0054,0.00088,0.006279,3,0.5,0.611111,15,0,0,0
VISpm,VISpm,,visual cortex,1,1,2,0.000246,0.000756,0.001002,4,0.4,0.520833,4,0,0,0
VISa,VISa,,visual cortex,0,1,1,0,0.000521,0.000521,3,0.5,0.611111,0,0,0,0
MG,MG,,thalamus,0,1,1,0,0.001078,0.001078,3,0.5,0.611111,0,0,0,0
SPF,SPF,,thalamus,0,1,1,0,0.001962,0.001962,3,0.5,0.611111,0,0,0,0
VISl,VISl,,visual cortex,1,1,2,0.000537,0.000586,0.001123,2,0.666667,0.75,12,0,0.316228,0
POST,POST,,hippocampal,2,1,3,0.001469,0.000475,0.001944,2,0.666667,0.75,10,0,0.316228,0
VAL,VAL,,thalamus,0,1,1,0,0.001635,0.001635,3,0.5,0.611111,0,0,0,0
SSp,SSp,,non-visual cortex,2,1,3,0.003184,0.003298,0.006483,2,0.666667,0.75,4,0,0,0
TT,TT,,,1,1,2,0.000873,0.000849,0.001722,2,0.666667,0.75,2,0,0,0
IC,IC,,midbrain,0,1,1,0,0.000963,0.000963,4,0.4,0.520833,0,0,0,0
SCsg,SCsg,,midbrain,2,1,3,0.001719,0.00039,0.002109,3,0.5,0.611111,9,0,0,0
PO,PO,,thalamus,0,1,1,0,0.000499,0.000499,3,0.5,0.611111,0,0,0,0
CA2,CA2,,hippocampal,0,1,1,0,0.000246,0.000246,5,0.333333,0.456667,0,0,0,0
SCig,SCig,,midbrain,0,1,1,0,0.00136,0.00136,4,0.4,0.520833,0,0,0,0
ILA,ILA,,non-visual cortex,0,1,1,0,0.000677,0.000677,3,0.5,0.611111,0,0,0,0
DP,DP,,non-visual cortex,0,1,1,0,0.001078,0.001078,2,0.666667,0.75,0,0,0,0
CL,CL,,thalamus,0,1,1,0,0.000489,0.000489,4,0.4,0.520833,0,0,0,0
NB,NB,,midbrain,0,1,1,0,0.002292,0.002292,4,0.4,0.520833,0,0,0,0
OLF,OLF,,non-visual cortex,1,1,2,0.001116,0.000767,0.001883,3,0.5,0.611111,3,0,0,0
EP,EP,,cortical subplate,1,1,2,0.000836,0.000567,0.001402,2,0.666667,0.75,2,0,0,0
BMA,BMA,,cortical subplate,0,1,1,0,0.000453,0.000453,4,0.4,0.520833,0,0,0,0
COA,COA,,non-visual cortex,0,1,1,0,0.000557,0.000557,4,0.4,0.520833,0,0,0,0
CA,CA,,hippocampal,0,1,1,0,0.000504,0.000504,4,0.4,0.520833,0,0,0,0
AUD,AUD,,non-visual cortex,0,1,1,0,0.000712,0.000712,4,0.4,0.520833,0,0,0,0
PIR,PIR,,non-visual cortex,0,1,1,0,0.001791,0.001791,2,0.666667,0.75,0,0,0,0
EPd,EPd,,cortical subplate,3,1,4,0.006101,0.000817,0.006917,1,1,1,4,0,0,0
ORBm,ORBm,,non-visual cortex,0,1,1,0,0.000453,0.000453,4,0.4,0.520833,0,0,0,0
VISrl,VISrl,,visual cortex,10,1,11,0.006817,0.000656,0.007473,1,1,1,27,1,0,0
