Id,Label,timeset,region,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,Clustering Coefficient
LP,LP,,thalamus,4,1,5,3,0.5,0.611111,15,0,0,0
VISpm,VISpm,,visual cortex,0,1,1,3,0.5,0.611111,0,0,0,0
VISa,VISa,,visual cortex,0,1,1,3,0.5,0.611111,0,0,0,0
MG,MG,,thalamus,0,1,1,5,0.333333,0.456667,0,0,0,0
SPF,SPF,,thalamus,0,1,1,4,0.4,0.520833,0,0,0,0
VISl,VISl,,visual cortex,0,1,1,2,0.666667,0.75,0,0,0.377964,0
POST,POST,,hippocampal,3,1,4,3,0.5,0.611111,39,0,0,0
VAL,VAL,,thalamus,0,1,1,3,0.5,0.611111,0,0,0,0
SSp,SSp,,non-visual cortex,3,1,4,2,0.666667,0.75,8,0,0,0.166667
TT,TT,,,0,1,1,2,0.666667,0.75,0,0,0,0
IC,IC,,midbrain,0,1,1,3,0.5,0.611111,0,0,0,0
SCsg,SCsg,,midbrain,3,1,4,2,0.666667,0.75,32,0,0.377964,0
PO,PO,,thalamus,0,1,1,3,0.5,0.611111,0,0,0,0
CA2,CA2,,hippocampal,0,1,1,6,0.285714,0.408333,0,0,0,0
SCig,SCig,,midbrain,0,1,1,2,0.666667,0.75,0,0,0,0
ILA,ILA,,non-visual cortex,0,1,1,2,0.666667,0.75,0,0,0,0
DP,DP,,non-visual cortex,0,1,1,6,0.285714,0.408333,0,0,0,0
CL,CL,,thalamus,0,1,1,4,0.4,0.520833,0,0,0,0
NB,NB,,midbrain,1,1,2,4,0.4,0.520833,4,0,0,0
OLF,OLF,,non-visual cortex,1,1,2,8,0.222222,0.339732,8,0,0,0
EP,EP,,cortical subplate,1,1,2,3,0.5,0.611111,3,0,0,0
BMA,BMA,,cortical subplate,0,1,1,4,0.4,0.520833,0,0,0,0
COA,COA,,non-visual cortex,0,1,1,4,0.4,0.520833,0,0,0,0
CA,CA,,hippocampal,0,1,1,4,0.4,0.520833,0,0,0,0
LSr,LSr,,basal ganglia,4,1,5,2,0.666667,0.75,26,0,0,0
AUD,AUD,,non-visual cortex,0,1,1,4,0.4,0.520833,0,0,0,0
PIR,PIR,,non-visual cortex,1,1,2,2,0.666667,0.75,3,0,0,1
EPd,EPd,,cortical subplate,2,1,3,2,0.666667,0.75,7,0,0,0.333333
ORBm,ORBm,,non-visual cortex,0,1,1,2,0.666667,0.75,0,0,0,0
VISrl,VISrl,,visual cortex,7,1,8,1,1,1,24,1,0,0
