Id,Label,timeset,region,clustering,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,Authority,Hub
VAL,VAL,,thalamus,0,2,0.666667,0.75,0,0,1,1,0,0
SSp,SSp,,non-visual cortex,0,1,1,1,2,3,1,4,0,0
TT,TT,,,0,2,0.666667,0.75,2,1,1,2,0,0
IC,IC,,midbrain,0,3,0.5,0.611111,0,0,1,1,0,0
SCsg,SCsg,,midbrain,0,2,0.666667,0.75,4,2,1,3,0,0
PO,PO,,thalamus,0,3,0.5,0.611111,0,0,1,1,0,0
CA2,CA2,,hippocampal,0,3,0.5,0.611111,0,0,1,1,0,0
SCig,SCig,,midbrain,0,3,0.5,0.611111,0,0,1,1,0,0
ILA,ILA,,non-visual cortex,0,4,0.4,0.520833,0,0,1,1,0,0
DP,DP,,non-visual cortex,0,3,0.5,0.611111,0,0,1,1,0,0
CL,CL,,thalamus,0,2,0.666667,0.75,0,0,1,1,0,0
NB,NB,,midbrain,0,3,0.5,0.611111,6,2,1,3,0,0
OLF,OLF,,non-visual cortex,0,3,0.5,0.611111,3,1,1,2,0,0
EP,EP,,cortical subplate,0,4,0.4,0.520833,8,2,1,3,0,0
BMA,BMA,,cortical subplate,0,6,0.285714,0.408333,0,0,1,1,0,0
COA,COA,,non-visual cortex,0,5,0.333333,0.456667,5,1,1,2,0,0
CA,CA,,hippocampal,0,5,0.333333,0.456667,0,0,1,1,0,0
AUD,AUD,,non-visual cortex,0,2,0.666667,0.75,0,0,1,1,0,0
PIR,PIR,,non-visual cortex,0,2,0.666667,0.75,0,0,1,1,0,0
EPd,EPd,,cortical subplate,0,1,1,1,2,3,1,4,0,0
ORBm,ORBm,,non-visual cortex,0,0,0,0,0,0,0,0,0,0
VISrl,VISrl,,visual cortex,0,1,1,1,18,7,1,8,1,0
